# CONVERGE 4.0.3/  Aug  6 2024       Run Date:Wed Jun  4 14:16:41 2025
# column        1                2                3                4                5
#           Crank         CHEM_SRC    CHEM_SRC_Mean  CHEM_SRC_StdDev       Total_Mass
#           (DEG)     (J/s/m^3*kg) (J/s/m^3*kg/m^3) (J/s/m^3*kg/m^3)             (kg)
#
   -3.7510701e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9707850e-05
   -3.7500170e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9698368e-05
   -3.7490193e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9687299e-05
   -3.7479720e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9673782e-05
   -3.7469673e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9658903e-05
   -3.7450442e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9626410e-05
   -3.7440179e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9607257e-05
   -3.7430653e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9589583e-05
   -3.7421619e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9571279e-05
   -3.7411819e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9550970e-05
   -3.7402543e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9531259e-05
   -3.7393180e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9511328e-05
   -3.7384477e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9492636e-05
   -3.7375502e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9473526e-05
   -3.7366898e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9455374e-05
   -3.7358589e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9438060e-05
   -3.7342594e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9407018e-05
   -3.7335094e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9392458e-05
   -3.7327736e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9378636e-05
   -3.7313360e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9352958e-05
   -3.7306374e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9341193e-05
   -3.7298841e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9329095e-05
   -3.7284124e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9307577e-05
   -3.7276881e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9297981e-05
   -3.7269690e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9290375e-05
   -3.7255758e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9275024e-05
   -3.7248865e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9268362e-05
   -3.7235306e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9257226e-05
   -3.7228645e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9252664e-05
   -3.7214794e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9245155e-05
   -3.7207415e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9242323e-05
   -3.7193006e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9239109e-05
   -3.7185884e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9238418e-05
   -3.7178847e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9238347e-05
   -3.7164463e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9240311e-05
   -3.7157319e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9242227e-05
   -3.7142888e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9247956e-05
   -3.7135787e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9251640e-05
   -3.7128805e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9256682e-05
   -3.7114321e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9266813e-05
