# CONVERGE 4.0.3/  Aug  6 2024       Run Date:Wed Jun  4 14:16:41 2025
# column        1                2                3                4                5                6                7                8                9               10               11
#           Crank      Lambda_Mean    Lambda_StdDev         Phi_Mean       Phi_StdDev    Rct_Lmda_Mean  Rct_Lmda_StdDev     Rct_Phi_Mean   Rct_Phi_StdDev         NOT_USED         NOT_USED
#           (DEG)           (none)           (none)           (none)           (none)           (none)           (none)           (none)           (none)           (none)           (none)
#
   -3.7645116e+02    1.9999929e+00    4.0136502e-09    5.0000178e-01    1.0034197e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7633867e+02    1.9999929e+00    4.0078718e-09    5.0000178e-01    1.0019751e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7622478e+02    1.9999929e+00    3.9968022e-09    5.0000178e-01    9.9920765e-10    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7611091e+02    1.9999929e+00    3.9888390e-09    5.0000178e-01    9.9721682e-10    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7599912e+02    1.9999929e+00    3.9782191e-09    5.0000178e-01    9.9456185e-10    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7588773e+02    1.9999929e+00    3.9585744e-09    5.0000178e-01    9.8965063e-10    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7577390e+02    1.9999929e+00    3.9564708e-09    5.0000178e-01    9.8912473e-10    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7566008e+02    1.9999929e+00    3.9438936e-09    5.0000178e-01    9.8598040e-10    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7554903e+02    1.9999929e+00    3.9445813e-09    5.0000178e-01    9.8615232e-10    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7543833e+02    1.9999929e+00    3.9422917e-09    5.0000178e-01    9.8557992e-10    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7532455e+02    1.9999929e+00    3.8806547e-09    5.0000178e-01    9.7017058e-10    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7521357e+02    1.9999929e+00    3.8757217e-09    5.0000178e-01    9.6893732e-10    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7510701e+02    1.9999929e+00    3.8694433e-09    5.0000178e-01    9.6736770e-10    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7500170e+02    1.9999929e+00    3.8688913e-09    5.0000178e-01    9.6722970e-10    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7490193e+02    1.9999929e+00    3.8744901e-09    5.0000178e-01    9.6862940e-10    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7479720e+02    1.9999929e+00    3.8822877e-09    5.0000178e-01    9.7057883e-10    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7469673e+02    1.9999929e+00    3.8796609e-09    5.0000178e-01    9.6992213e-10    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
