# CONVERGE 4.0.3/  Aug  6 2024       Run Date:Wed Jun  4 14:16:41 2025
# column        1                2                3                4                5
#           Crank         CHEM_SRC    CHEM_SRC_Mean  CHEM_SRC_StdDev       Total_Mass
#           (DEG)     (J/s/m^3*kg) (J/s/m^3*kg/m^3) (J/s/m^3*kg/m^3)             (kg)
#
   -3.7450442e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.8361025e-05
   -3.7440179e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.8301424e-05
   -3.7430653e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.8244780e-05
   -3.7421619e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.8190023e-05
   -3.7411819e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.8129598e-05
   -3.7402543e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.8071622e-05
   -3.7393180e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.8012488e-05
   -3.7384477e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.7957123e-05
   -3.7375502e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.7899755e-05
   -3.7366898e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.7844636e-05
   -3.7358589e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.7791413e-05
   -3.7342594e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.7689357e-05
   -3.7335094e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.7641847e-05
   -3.7327736e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.7595560e-05
   -3.7313360e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.7506305e-05
   -3.7306374e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.7463605e-05
   -3.7298841e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.7418176e-05
   -3.7284124e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.7331398e-05
   -3.7276881e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.7289767e-05
   -3.7269690e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.7249215e-05
   -3.7255758e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.7173000e-05
   -3.7248865e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.7136526e-05
