# CONVERGE 4.0.3/  Aug  6 2024       Run Date:Wed Jun  4 14:16:41 2025
# column        1                2                3                4                5                6                7                8                9               10               11               12               13
#           Crank               AR               N2               HE               H2                H               O2                O              H2O               OH              OHV             H2O2              HO2
#           (DEG)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)
#
   -3.7207415e+02    0.0000000e+00    7.2837828e-05    0.0000000e+00    1.6138697e-06    0.0000000e+00    1.8099951e-05    0.0000000e+00    4.3850299e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7193006e+02    0.0000000e+00    7.2791633e-05    0.0000000e+00    1.6136835e-06    0.0000000e+00    1.8092219e-05    0.0000000e+00    4.3781686e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7185884e+02    0.0000000e+00    7.2770080e-05    0.0000000e+00    1.6136030e-06    0.0000000e+00    1.8088639e-05    0.0000000e+00    4.3749363e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7178847e+02    0.0000000e+00    7.2749625e-05    0.0000000e+00    1.6135313e-06    0.0000000e+00    1.8085264e-05    0.0000000e+00    4.3718459e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7164463e+02    0.0000000e+00    7.2710448e-05    0.0000000e+00    1.6134095e-06    0.0000000e+00    1.8078868e-05    0.0000000e+00    4.3658507e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7157319e+02    0.0000000e+00    7.2692281e-05    0.0000000e+00    1.6133612e-06    0.0000000e+00    1.8075938e-05    0.0000000e+00    4.3630311e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7142888e+02    0.0000000e+00    7.2658189e-05    0.0000000e+00    1.6132889e-06    0.0000000e+00    1.8070523e-05    0.0000000e+00    4.3576502e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7135787e+02    0.0000000e+00    7.2642714e-05    0.0000000e+00    1.6132672e-06    0.0000000e+00    1.8068115e-05    0.0000000e+00    4.3551535e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7128805e+02    0.0000000e+00    7.2628307e-05    0.0000000e+00    1.6132543e-06    0.0000000e+00    1.8065905e-05    0.0000000e+00    4.3527935e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7114321e+02    0.0000000e+00    7.2600905e-05    0.0000000e+00    1.6132522e-06    0.0000000e+00    1.8061803e-05    0.0000000e+00    4.3481957e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7106775e+02    0.0000000e+00    7.2587882e-05    0.0000000e+00    1.6132626e-06    0.0000000e+00    1.8059905e-05    0.0000000e+00    4.3459550e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7099332e+02    0.0000000e+00    7.2575800e-05    0.0000000e+00    1.6132791e-06    0.0000000e+00    1.8058174e-05    0.0000000e+00    4.3438427e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7084232e+02    0.0000000e+00    7.2553479e-05    0.0000000e+00    1.6133287e-06    0.0000000e+00    1.8055063e-05    0.0000000e+00    4.3398474e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7076634e+02    0.0000000e+00    7.2543283e-05    0.0000000e+00    1.6133606e-06    0.0000000e+00    1.8053682e-05    0.0000000e+00    4.3379773e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
