# CONVERGE 4.0.3/  Aug  6 2024       Run Date:Wed Jun  4 14:16:41 2025
# column        1                2                3                4                5
#           Crank      Total_Cells          Region1          Region0          Region2
#           (DEG)           (none)           (none)           (none)           (none)
#
   -3.4004159e+02           199423            59144           102370            37909
   -3.3997687e+02           200039            59200           102932            37907
   -3.3986038e+02           200697            59312           103478            37907
   -3.3977993e+02           201625            59452           104262            37911
   -3.3969882e+02           202513            59596           105009            37908
   -3.3957960e+02           203253            59701           105642            37910
   -3.3944167e+02           205041            59969           107159            37913
   -3.3936504e+02           206117            60116           108094            37907
   -3.3923124e+02           207841            60416           109516            37909
   -3.3917324e+02           208786            60627           110249            37910
   -3.3902238e+02           210500            60879           111710            37911
   -3.3897649e+02           211224            61045           112270            37909
   -3.3884744e+02           212716            61212           113595            37909
   -3.3876668e+02           213551            61328           114315            37908
   -3.3862439e+02           215800            61841           116050            37909
   -3.3854534e+02           216740            61967           116864            37909
   -3.3848211e+02           217580            62195           117474            37911
   -3.3832156e+02           218542            62604           118025            37913
   -3.3825635e+02           219271            62777           118586            37908
   -3.3817883e+02           220017            62934           119171            37912
   -3.3803928e+02           222268            63468           120894            37906
   -3.3797726e+02           223082            63575           121594            37913
   -3.3789974e+02           222784            63586           121287            37911
   -3.3776019e+02           224449            63961           122579            37909
   -3.3769817e+02           225628            64202           123516            37910
   -3.3755862e+02           227702            64564           125226            37912
   -3.3748110e+02           228969            64845           126216            37908
   -3.3732115e+02           230575            65023           127640            37912
   -3.3725671e+02           232070            65189           128969            37912
   -3.3717702e+02           232967            65230           129826            37911
   -3.3703358e+02           234931            65430           131583            37918
   -3.3696983e+02           235666            65483           132276            37907
   -3.3689014e+02           236413            65615           132889            37909
   -3.3677538e+02           237847            65746           134192            37909
   -3.3666063e+02           239004            65796           135298            37910
   -3.3659688e+02           239952            65886           136156            37910
   -3.3645344e+02           242205            66439           137857            37909
   -3.3633868e+02           243568            66634           139025            37909
   -3.3625899e+02           244698            66836           139954            37908
   -3.3619524e+02           243764            66833           139013            37918
   -3.3605180e+02           245498            67012           140574            37912
   -3.3597211e+02           246297            67120           141266            37911
   -3.3585736e+02           247690            67496           142280            37914
   -3.3579361e+02           248408            67655           142842            37911
   -3.3565016e+02           249952            67827           144215            37910
   -3.3557047e+02           250994            67929           145151            37914
   -3.3545572e+02           252477            68143           146423            37911
   -3.3539197e+02           253310            68264           147136            37910
   -3.3522187e+02           255324            68565           148852            37907
   -3.3514954e+02           256635            68713           150013            37909
   -3.3506700e+02           257726            68855           150961            37910
   -3.3494815e+02           259153            69085           152156            37912
   -3.3485307e+02           260566            69322           153333            37911
   -3.3478704e+02           261420            69419           154093            37908
   -3.3463848e+02           263380            69573           155901            37906
   -3.3458565e+02           264074            69641           156528            37905
   -3.3443768e+02           264068            69595           156557            37916
   -3.3437212e+02           264894            69688           157294            37912
   -3.3425412e+02           266544            69918           158716            37910
   -3.3417217e+02           267805            70014           159875            37916
   -3.3405417e+02           269349            70333           161104            37912
   -3.3398861e+02           270591            70494           162186            37911
   -3.3384111e+02           272903            70862           164128            37913
   -3.3378867e+02           273777            71027           164839            37911
   -3.3369426e+02           274893            71188           165793            37912
   -3.3354676e+02           277888            71450           168522            37916
   -3.3348120e+02           279137            71636           169586            37915
   -3.3339926e+02           280373            71724           170738            37911
   -3.3328126e+02           281897            71955           172033            37909
   -3.3313375e+02           283760            72236           173612            37912
   -3.3306820e+02           284410            72327           174174            37909
   -3.3295019e+02           286105            72559           175637            37909
   -3.3289775e+02           282375            72578           171886            37911
   -3.3275024e+02           283799            72720           173173            37906
   -3.3268469e+02           284792            72854           174028            37910
   -3.3253718e+02           287058            72980           176170            37908
   -3.3245524e+02           287898            73056           176937            37905
   -3.3238968e+02           288764            73106           177745            37913
   -3.3227168e+02           290344            73269           179169            37906
   -3.3218973e+02           291477            73363           180207            37907
   -3.3204223e+02           293058            73495           181650            37913
   -3.3197667e+02           293880            73533           182432            37915
   -3.3185867e+02           296134            73952           184270            37912
   -3.3177672e+02           297132            74079           185145            37908
   -3.3169407e+02           298066            74132           186031            37903
   -3.3157504e+02           299585            74207           187469            37909
   -3.3145602e+02           301263            74288           189073            37902
