# CONVERGE 4.0.3/  Aug  6 2024       Run Date:Wed Jun  4 14:16:41 2025
# column        1                2                3                4                5
#           Crank       Source_8_0       Source_8_0       Source_9_1       Source_9_1
#           (DEG)    Integrated_HR          HR_Rate    Integrated_HR          HR_Rate
#          (none)              (J)          (J/DEG)              (J)          (J/DEG)
   -3.6369551e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6357776e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6347925e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6333790e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6326440e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6319463e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6304857e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6297502e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6282742e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6275303e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6267775e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6253337e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6245396e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6237962e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6222418e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6214639e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6208615e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6194592e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6186664e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6178638e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6161464e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6152084e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6142480e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6132830e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6123128e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6114811e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6107092e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6098972e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6080932e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6070975e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6060073e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6048344e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6035872e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6022948e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6009507e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5995481e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5980760e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5965219e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5948672e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5932092e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5915493e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5898874e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5882231e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5865561e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5848859e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5832119e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5815331e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5798477e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5781533e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5764485e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5747396e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5730261e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5713131e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5696023e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5678945e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5661903e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5646124e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5631491e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5617709e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5609763e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5596936e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5583200e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5576003e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5568775e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5554231e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5546915e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5539573e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5524811e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5517393e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5509952e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5495079e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5486834e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5479483e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5463283e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5454415e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5447048e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5439601e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5422787e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5415306e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5405956e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5398446e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5389060e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5378172e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5367274e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5356367e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5345452e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5334528e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5323595e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5313165e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5302440e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5294776e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5287093e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5279390e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5263105e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5255392e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5246131e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5238453e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5222936e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5215151e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5207350e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5199534e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5183856e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5174049e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5165317e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5156566e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5147796e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5139009e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5121716e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5113430e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5104578e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5095712e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5087833e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5079997e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5064290e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5056363e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5048484e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5030735e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5021975e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5013196e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.5005258e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.4997307e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.4989345e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.4973390e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.4965397e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.4957457e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.4949452e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.4933415e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.4925385e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.4917347e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.4909302e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.4893191e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.4884314e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.4876311e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.4868356e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.4858916e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.4849505e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.4832188e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.4824221e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.4816188e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.4806898e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.4798863e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.4782401e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.4774176e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.4766488e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.4758439e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.4742376e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.4734305e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
