# CONVERGE 4.0.3/  Aug  6 2024       Run Date:Wed Jun  4 14:16:41 2025
# column        1                2                3                4                5                6                7                8                9               10               11
#           Crank      Lambda_Mean    Lambda_StdDev         Phi_Mean       Phi_StdDev    Rct_Lmda_Mean  Rct_Lmda_StdDev     Rct_Phi_Mean   Rct_Phi_StdDev         NOT_USED         NOT_USED
#           (DEG)           (none)           (none)           (none)           (none)           (none)           (none)           (none)           (none)           (none)           (none)
#
   -3.7235306e+02    1.3172908e+00    4.3983888e-01    7.5913382e-01    1.9220124e-01    1.4140543e+00    5.9589719e+19    7.0718642e-01    4.4941336e-01   -1.0000000e+00   -1.0000000e+00
   -3.7228645e+02    1.3171712e+00    4.3978578e-01    7.5920273e-01    1.9218036e-01    1.4138258e+00    5.9575318e+19    7.0730070e-01    4.4935703e-01   -1.0000000e+00   -1.0000000e+00
   -3.7214794e+02    1.3169312e+00    4.3967895e-01    7.5934110e-01    1.9213833e-01    1.4133673e+00    5.9546385e+19    7.0753014e-01    4.4924372e-01   -1.0000000e+00   -1.0000000e+00
   -3.7207415e+02    1.3168081e+00    4.3962406e-01    7.5941208e-01    1.9211673e-01    1.4131324e+00    5.9531540e+19    7.0764779e-01    4.4918550e-01   -1.0000000e+00   -1.0000000e+00
   -3.7193006e+02    1.3165772e+00    4.3952084e-01    7.5954530e-01    1.9207612e-01    1.4126916e+00    5.9503664e+19    7.0786856e-01    4.4907604e-01   -1.0000000e+00   -1.0000000e+00
   -3.7185884e+02    1.3164676e+00    4.3947177e-01    7.5960853e-01    1.9205680e-01    1.4124826e+00    5.9490429e+19    7.0797330e-01    4.4902400e-01   -1.0000000e+00   -1.0000000e+00
   -3.7178847e+02    1.3163622e+00    4.3942454e-01    7.5966932e-01    1.9203822e-01    1.4122818e+00    5.9477703e+19    7.0807398e-01    4.4897393e-01   -1.0000000e+00   -1.0000000e+00
   -3.7164463e+02    1.3161560e+00    4.3933195e-01    7.5978833e-01    1.9200176e-01    1.4118889e+00    5.9452780e+19    7.0827104e-01    4.4887575e-01   -1.0000000e+00   -1.0000000e+00
   -3.7157319e+02    1.3160581e+00    4.3928791e-01    7.5984485e-01    1.9198442e-01    1.4117024e+00    5.9440939e+19    7.0836461e-01    4.4882905e-01   -1.0000000e+00   -1.0000000e+00
   -3.7142888e+02    1.3158692e+00    4.3920280e-01    7.5995393e-01    1.9195091e-01    1.4113427e+00    5.9418082e+19    7.0854512e-01    4.4873881e-01   -1.0000000e+00   -1.0000000e+00
